Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
25995456,-14.39,10.33,415.9,0.00,-94.0,426.4,0.0
25995552,-14.20,10.01,405.0,0.00,-89.1,414.7,0.0
25995648,-14.00,9.69,394.1,0.00,-84.4,403.0,0.0
25995744,-13.81,9.53,383.8,0.00,-81.2,392.3,0.0
25995840,-13.62,9.25,373.7,0.00,-77.1,381.6,0.0
25995936,-13.42,8.90,363.0,0.00,-72.5,370.2,0.0
25996032,-13.21,8.61,352.5,0.00,-68.5,359.1,0.0
25996128,-12.98,8.23,341.3,0.00,-63.8,347.2,0.0
25996224,-12.77,7.85,330.8,0.00,-59.4,336.1,0.0
25996320,-12.52,7.39,319.2,0.00,-54.3,323.8,0.0
25996416,-12.30,6.85,309.1,0.00,-49.1,313.0,0.0
25996512,-12.06,6.22,298.5,0.00,-43.4,301.6,0.0
25996608,-11.82,5.52,288.1,0.00,-37.5,290.5,0.0
25996704,-11.53,4.82,275.7,0.00,-31.7,277.5,0.0
25996800,-11.22,3.85,262.9,0.00,-24.4,264.0,0.0
25996896,-10.95,2.75,252.5,0.00,-16.9,253.1,0.0
25996992,-10.69,1.64,242.1,0.00,-9.8,242.3,0.0
25997088,-10.35,0.38,229.3,0.00,-2.2,229.3,0.0
25997184,-10.08,-1.08,219.1,0.00,6.0,219.2,0.0
25997280,-9.75,-2.61,207.1,0.00,14.0,207.5,0.0
25997376,-9.44,-4.15,195.5,0.00,21.4,196.7,0.0
25997472,-9.10,-5.66,183.7,0.00,28.1,185.8,0.0
25997568,-8.77,-7.32,172.2,0.00,35.0,175.7,0.0
25997664,-8.48,-8.96,162.3,0.00,41.3,167.5,0.0
25997760,-8.17,-10.57,151.9,0.00,47.0,159.0,0.0
25997856,-7.88,-12.18,142.1,0.00,52.3,151.4,0.0
25997952,-7.53,-13.28,131.5,0.00,54.6,142.4,0.0
25998048,-7.28,-14.84,123.5,0.00,59.2,137.0,0.0
25998144,-7.04,-16.07,116.2,0.00,62.3,131.9,0.0
25998240,-6.85,-17.37,110.0,0.00,65.7,128.2,0.0
25998336,-6.69,-18.65,104.6,0.00,69.1,125.3,0.0
25998432,-6.54,-19.70,99.9,0.00,71.6,122.9,0.0
25998528,-6.57,-21.64,98.0,0.00,78.6,125.6,0.0
25998624,-6.48,-22.79,94.4,0.00,81.7,124.8,0.0
25998720,-6.44,-24.49,91.0,0.00,87.0,125.9,0.0
25998816,-6.44,-26.81,87.3,0.00,94.6,128.7,0.0
25998912,-6.40,-29.38,82.0,0.00,102.5,131.3,0.0
25999008,-6.30,-32.47,74.2,0.00,110.9,133.4,0.0
25999104,-6.09,-35.83,63.5,0.00,118.1,134.0,0.0
25999200,-5.81,-39.77,50.1,0.00,124.9,134.6,0.0
25999296,-5.62,-45.82,33.0,0.00,136.9,140.9,0.0
25999392,-5.25,-51.04,15.1,0.00,142.3,143.1,0.0
25999488,-4.87,-56.38,-3.0,0.00,145.8,145.9,0.0
25999584,-4.46,-61.87,-21.2,0.00,147.4,149.0,0.0
25999680,-4.12,-66.98,-37.2,0.00,147.8,152.5,0.0
25999776,-3.84,-72.19,-52.4,0.00,148.2,157.2,0.0
25999872,-3.64,-77.84,-68.0,0.00,148.7,163.5,0.0
25999968,-3.59,-81.59,-77.9,0.00,149.6,168.7,0.0
26000064,-3.66,-85.91,-89.1,0.00,151.9,176.2,0.0
26000160,-3.77,-90.80,-97.8,0.00,-154.3,182.7,0.0
26000256,-3.95,-95.71,-84.3,0.00,-156.9,178.1,0.0
26000352,-4.34,-98.36,-76.0,0.00,-163.2,180.0,0.0
26000448,-4.61,-103.27,-61.0,0.00,-165.5,176.4,0.0
26000544,-5.04,-106.64,-48.8,0.00,-171.2,178.0,0.0
26000640,-5.54,-109.60,-36.5,0.00,-178.2,181.9,0.0
26000736,-5.98,-113.01,-22.2,0.00,-183.3,184.6,0.0
26000832,-6.50,-116.01,-7.3,0.00,-190.0,190.2,0.0
26000928,-6.99,-118.98,8.4,0.00,-195.7,195.8,0.0
26001024,-7.53,-121.80,25.4,0.00,-202.3,203.9,0.0
26001120,-8.10,-124.14,42.5,0.00,-210.2,214.5,0.0
26001216,-8.65,-126.29,60.2,0.00,-218.1,226.3,0.0
26001312,-9.10,-128.66,78.0,0.00,-222.6,235.8,0.0
26001408,-9.59,-130.50,96.0,0.00,-229.5,248.8,0.0
26001504,-10.11,-131.93,113.9,0.00,-238.2,264.0,0.0
26001600,-10.54,-133.24,130.5,0.00,-245.1,277.7,0.0
26001696,-10.95,-134.48,147.2,0.00,-251.8,291.7,0.0
26001792,-11.33,-135.51,163.0,0.00,-258.4,305.5,0.0
26001888,-11.72,-136.29,178.7,0.00,-266.4,320.8,0.0
26001984,-12.05,-137.01,192.7,0.00,-272.9,334.1,0.0
26002080,-12.39,-137.55,207.4,0.00,-281.2,349.4,0.0
26002176,-12.71,-137.91,220.8,0.00,-289.7,364.3,0.0
26002272,-13.02,-138.28,234.3,0.00,-298.1,379.2,0.0
26002368,-13.25,-138.72,245.3,0.00,-303.2,390.0,0.0
26002464,-13.51,-139.06,257.8,0.00,-310.4,403.5,0.0
26002560,-13.77,-139.28,269.8,0.00,-318.3,417.3,0.0
26002656,-14.03,-139.62,283.0,0.00,-325.7,431.4,0.0
26002752,-14.26,-139.82,294.6,0.00,-333.2,444.7,0.0
26002848,-14.50,-140.11,307.6,0.00,-340.6,458.9,0.0
26002944,-14.77,-140.34,321.4,0.00,-349.4,474.7,0.0
26003040,-14.97,-140.69,333.6,0.00,-355.0,487.2,0.0
26003136,-15.22,-141.05,348.6,0.00,-362.5,502.9,0.0
26003232,-15.43,-141.28,361.0,0.00,-369.6,516.7,0.0
