Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
25995720,-11.56,5.61,276.7,0.00,-37.0,279.2,0.0
25995730,-11.56,5.44,276.7,0.00,-35.9,279.0,0.0
25995740,-11.50,5.36,274.1,0.00,-35.1,276.3,0.0
25995750,-11.49,5.29,273.7,0.00,-34.6,275.9,0.0
25995760,-11.44,5.23,271.6,0.00,-34.0,273.7,0.0
25995770,-11.41,5.11,270.3,0.00,-33.1,272.3,0.0
25995780,-11.37,4.93,268.9,0.00,-31.8,270.8,0.0
25995790,-11.36,4.88,268.6,0.00,-31.5,270.4,0.0
25995800,-11.33,4.80,267.2,0.00,-30.8,269.0,0.0
25995810,-11.34,4.68,267.9,0.00,-30.1,269.5,0.0
25995820,-11.26,4.61,264.5,0.00,-29.4,266.1,0.0
25995830,-11.26,4.43,264.6,0.00,-28.2,266.1,0.0
25995840,-11.19,4.37,261.6,0.00,-27.6,263.0,0.0
25995850,-11.18,4.27,261.4,0.00,-27.0,262.8,0.0
25995860,-11.12,4.14,258.9,0.00,-26.0,260.2,0.0
25995870,-11.10,4.02,258.2,0.00,-25.1,259.4,0.0
25995880,-11.06,3.90,256.5,0.00,-24.3,257.6,0.0
25995890,-11.06,3.80,256.3,0.00,-23.6,257.4,0.0
25995900,-10.99,3.73,253.6,0.00,-23.1,254.6,0.0
25995910,-10.97,3.55,252.7,0.00,-21.9,253.7,0.0
25995920,-10.92,3.54,250.9,0.00,-21.7,251.8,0.0
25995930,-10.90,3.36,250.0,0.00,-20.5,250.8,0.0
25995940,-10.89,3.21,249.7,0.00,-19.6,250.4,0.0
25995950,-10.85,3.10,248.3,0.00,-18.8,249.0,0.0
25995960,-10.83,2.93,247.6,0.00,-17.8,248.2,0.0
25995970,-10.78,2.77,245.5,0.00,-16.7,246.1,0.0
25995980,-10.74,2.72,243.9,0.00,-16.4,244.5,0.0
25995990,-10.71,2.60,242.9,0.00,-15.6,243.4,0.0
25996000,-10.74,2.30,243.9,0.00,-13.8,244.3,0.0
25996010,-10.69,2.18,242.0,0.00,-13.0,242.4,0.0
25996020,-10.62,2.18,239.5,0.00,-12.9,239.9,0.0
25996030,-10.58,2.07,237.9,0.00,-12.2,238.2,0.0
25996040,-10.59,1.76,238.3,0.00,-10.4,238.5,0.0
25996050,-10.54,1.70,236.3,0.00,-10.0,236.5,0.0
25996060,-10.54,1.55,236.2,0.00,-9.1,236.4,0.0
25996070,-10.50,1.42,235.0,0.00,-8.3,235.2,0.0
25996080,-10.43,1.21,232.2,0.00,-7.0,232.4,0.0
25996090,-10.36,1.17,229.5,0.00,-6.7,229.6,0.0
25996100,-10.35,0.97,229.3,0.00,-5.6,229.4,0.0
25996110,-10.33,0.83,228.4,0.00,-4.8,228.4,0.0
25996120,-10.33,0.58,228.6,0.00,-3.3,228.6,0.0
25996130,-10.29,0.43,227.1,0.00,-2.5,227.1,0.0
25996140,-10.25,0.30,225.5,0.00,-1.7,225.5,0.0
25996150,-10.21,0.17,224.0,0.00,-1.0,224.0,0.0
25996160,-10.18,0.03,222.7,0.00,-0.2,222.7,0.0
25996170,-10.14,-0.26,221.5,0.00,1.5,221.5,0.0
25996180,-10.11,-0.32,220.2,0.00,1.8,220.2,0.0
25996190,-10.07,-0.44,218.9,0.00,2.4,218.9,0.0
25996200,-10.02,-0.60,216.8,0.00,3.3,216.8,0.0
25996210,-9.99,-0.67,215.9,0.00,3.7,215.9,0.0
25996220,-9.98,-0.97,215.6,0.00,5.4,215.7,0.0
25996230,-9.94,-1.14,213.9,0.00,6.2,214.0,0.0
25996240,-9.88,-1.28,211.8,0.00,6.9,212.0,0.0
25996250,-9.87,-1.43,211.4,0.00,7.8,211.5,0.0
25996260,-9.83,-1.71,209.9,0.00,9.2,210.1,0.0
25996270,-9.81,-1.80,209.1,0.00,9.7,209.4,0.0
25996280,-9.78,-1.98,208.0,0.00,10.7,208.3,0.0
25996290,-9.71,-2.13,205.5,0.00,11.3,205.8,0.0
25996300,-9.68,-2.45,204.6,0.00,13.0,205.1,0.0
25996310,-9.66,-2.54,203.8,0.00,13.5,204.2,0.0
25996320,-9.63,-2.69,202.6,0.00,14.2,203.1,0.0
25996330,-9.58,-2.84,200.8,0.00,14.9,201.4,0.0
25996340,-9.56,-3.08,200.3,0.00,16.2,200.9,0.0
25996350,-9.51,-3.29,198.5,0.00,17.2,199.2,0.0
25996360,-9.48,-3.42,197.3,0.00,17.8,198.1,0.0
25996370,-9.45,-3.58,196.2,0.00,18.5,197.1,0.0
25996380,-9.42,-3.77,195.0,0.00,19.5,196.0,0.0
25996390,-9.37,-3.99,193.4,0.00,20.5,194.5,0.0
25996400,-9.35,-4.16,192.5,0.00,21.3,193.7,0.0
25996410,-9.29,-4.30,190.7,0.00,21.8,192.0,0.0
25996420,-9.27,-4.56,189.9,0.00,23.1,191.3,0.0
25996430,-9.24,-4.72,188.9,0.00,23.8,190.4,0.0
25996440,-9.18,-4.82,186.6,0.00,24.2,188.2,0.0
25996450,-9.15,-5.05,185.6,0.00,25.2,187.3,0.0
25996460,-9.12,-5.22,184.7,0.00,26.0,186.5,0.0
25996470,-9.10,-5.47,183.9,0.00,27.2,185.9,0.0
25996480,-9.04,-5.66,181.6,0.00,27.9,183.8,0.0
25996490,-9.02,-5.83,181.0,0.00,28.7,183.3,0.0
25996500,-8.97,-5.97,179.3,0.00,29.2,181.6,0.0
25996510,-8.96,-6.19,178.8,0.00,30.2,181.3,0.0
25996520,-8.90,-6.31,176.9,0.00,30.6,179.5,0.0
25996530,-8.88,-6.52,176.3,0.00,31.6,179.1,0.0
25996540,-8.81,-6.76,173.9,0.00,32.5,176.9,0.0
25996550,-8.78,-6.93,172.8,0.00,33.2,175.9,0.0
25996560,-8.76,-7.04,172.1,0.00,33.6,175.3,0.0
25996570,-8.73,-7.41,170.8,0.00,35.2,174.4,0.0
25996580,-8.69,-7.51,169.7,0.00,35.6,173.4,0.0
25996590,-8.67,-7.69,168.8,0.00,36.3,172.6,0.0
25996600,-8.60,-7.84,166.5,0.00,36.7,170.5,0.0
25996610,-8.59,-8.15,166.0,0.00,38.1,170.3,0.0
25996620,-8.55,-8.29,164.7,0.00,38.6,169.2,0.0
25996630,-8.51,-8.51,163.6,0.00,39.5,168.3,0.0
25996640,-8.47,-8.65,162.0,0.00,39.9,166.9,0.0
25996650,-8.44,-8.88,161.0,0.00,40.8,166.1,0.0
25996660,-8.41,-9.13,159.9,0.00,41.8,165.3,0.0
25996670,-8.37,-9.29,158.7,0.00,42.3,164.3,0.0
25996680,-8.33,-9.32,157.4,0.00,42.2,163.0,0.0
25996690,-8.29,-9.54,156.2,0.00,43.1,162.0,0.0
25996700,-8.25,-9.71,154.7,0.00,43.6,160.8,0.0
25996710,-8.21,-9.93,153.4,0.00,44.4,159.7,0.0
25996720,-8.18,-10.16,152.3,0.00,45.2,158.9,0.0
25996730,-8.11,-10.19,150.5,0.00,45.0,157.1,0.0
25996740,-8.14,-10.53,150.9,0.00,46.6,158.0,0.0
25996750,-8.07,-10.61,148.8,0.00,46.6,155.9,0.0
25996760,-8.01,-10.72,147.1,0.00,46.8,154.4,0.0
25996770,-7.97,-10.89,145.7,0.00,47.3,153.2,0.0
25996780,-8.02,-11.19,146.9,0.00,48.9,154.8,0.0
25996790,-7.94,-11.40,144.6,0.00,49.3,152.8,0.0
25996800,-7.86,-11.38,142.2,0.00,48.7,150.4,0.0
25996810,-7.82,-11.59,141.2,0.00,49.5,149.6,0.0
25996820,-7.79,-11.67,140.1,0.00,49.6,148.6,0.0
25996830,-7.79,-11.94,140.0,0.00,50.8,148.9,0.0
25996840,-7.73,-12.15,138.1,0.00,51.3,147.3,0.0
25996850,-7.68,-12.24,136.7,0.00,51.3,146.0,0.0
25996860,-7.70,-12.49,136.9,0.00,52.5,146.6,0.0
25996870,-7.63,-12.56,135.0,0.00,52.3,144.8,0.0
25996880,-7.60,-12.85,133.9,0.00,53.4,144.1,0.0
25996890,-7.57,-13.00,133.0,0.00,53.8,143.5,0.0
25996900,-7.53,-13.14,131.8,0.00,54.1,142.5,0.0
25996910,-7.50,-13.28,130.7,0.00,54.4,141.6,0.0
25996920,-7.46,-13.39,129.6,0.00,54.7,140.6,0.0
25996930,-7.45,-13.72,129.0,0.00,55.9,140.6,0.0
25996940,-7.45,-13.93,128.8,0.00,56.7,140.7,0.0
25996950,-7.40,-14.14,127.3,0.00,57.3,139.6,0.0
25996960,-7.36,-14.12,126.3,0.00,56.9,138.5,0.0
25996970,-7.34,-14.38,125.4,0.00,57.8,138.1,0.0
25996980,-7.31,-14.57,124.5,0.00,58.4,137.5,0.0
25996990,-7.26,-14.65,123.1,0.00,58.3,136.2,0.0
25997000,-7.21,-14.72,121.9,0.00,58.3,135.1,0.0
25997010,-7.18,-14.88,120.9,0.00,58.7,134.3,0.0
25997020,-7.20,-15.21,121.2,0.00,60.1,135.3,0.0
25997030,-7.15,-15.23,119.8,0.00,59.9,134.0,0.0
25997040,-7.11,-15.36,118.7,0.00,60.1,133.0,0.0
25997050,-7.10,-15.55,118.1,0.00,60.7,132.8,0.0
25997060,-7.07,-15.85,117.1,0.00,61.7,132.4,0.0
25997070,-7.03,-16.01,115.9,0.00,61.9,131.4,0.0
25997080,-7.01,-16.06,115.3,0.00,62.0,130.9,0.0
25997090,-6.99,-16.23,114.8,0.00,62.5,130.7,0.0
25997100,-6.93,-16.33,113.2,0.00,62.5,129.3,0.0
25997110,-6.92,-16.44,112.7,0.00,62.7,129.0,0.0
25997120,-6.88,-16.60,111.7,0.00,63.1,128.3,0.0
25997130,-6.87,-16.76,111.2,0.00,63.6,128.1,0.0
25997140,-6.86,-16.98,110.6,0.00,64.3,128.0,0.0
25997150,-6.81,-17.06,109.4,0.00,64.3,126.9,0.0
25997160,-6.78,-17.24,108.5,0.00,64.7,126.4,0.0
25997170,-6.78,-17.32,108.3,0.00,64.9,126.3,0.0
25997180,-6.78,-17.49,108.2,0.00,65.6,126.5,0.0
25997190,-6.72,-17.52,106.8,0.00,65.3,125.1,0.0
25997200,-6.72,-17.73,106.5,0.00,66.0,125.3,0.0
25997210,-6.70,-17.88,105.7,0.00,66.4,124.8,0.0
25997220,-6.66,-17.90,104.8,0.00,66.2,123.9,0.0
25997230,-6.65,-18.07,104.3,0.00,66.7,123.8,0.0
25997240,-6.64,-18.28,103.9,0.00,67.3,123.8,0.0
25997250,-6.59,-18.33,102.7,0.00,67.2,122.7,0.0
25997260,-6.60,-18.59,102.6,0.00,68.2,123.2,0.0
25997270,-6.57,-18.61,101.9,0.00,68.0,122.5,0.0
25997280,-6.53,-18.69,100.9,0.00,68.0,121.7,0.0
25997290,-6.52,-18.86,100.4,0.00,68.5,121.5,0.0
25997300,-6.48,-18.91,99.5,0.00,68.3,120.7,0.0
25997310,-6.48,-19.19,99.2,0.00,69.4,121.1,0.0
25997320,-6.45,-19.15,98.5,0.00,68.9,120.3,0.0
25997330,-6.43,-19.28,97.8,0.00,69.2,119.8,0.0
25997340,-6.41,-19.45,97.3,0.00,69.7,119.7,0.0
25997350,-6.45,-19.76,97.7,0.00,71.0,120.7,0.0
25997360,-6.45,-19.99,97.5,0.00,71.8,121.1,0.0
25997370,-6.36,-19.85,95.7,0.00,70.7,119.0,0.0
25997380,-6.36,-19.96,95.6,0.00,71.0,119.1,0.0
25997390,-6.40,-20.28,96.0,0.00,72.4,120.3,0.0
25997400,-6.32,-20.14,94.3,0.00,71.3,118.2,0.0
25997410,-6.34,-20.47,94.4,0.00,72.5,119.0,0.0
25997420,-6.30,-20.47,93.5,0.00,72.2,118.1,0.0
25997430,-6.27,-20.45,92.8,0.00,71.9,117.4,0.0
25997440,-6.28,-20.58,92.9,0.00,72.4,117.8,0.0
25997450,-6.22,-20.64,91.6,0.00,72.2,116.6,0.0
25997460,-6.34,-21.32,93.4,0.00,75.5,120.0,0.0
25997470,-6.29,-21.28,92.2,0.00,74.9,118.8,0.0
25997480,-6.26,-21.37,91.5,0.00,74.9,118.2,0.0
25997490,-6.32,-21.68,92.3,0.00,76.4,119.8,0.0
25997500,-6.19,-21.34,90.0,0.00,74.3,116.7,0.0
25997510,-6.22,-21.74,90.1,0.00,75.8,117.8,0.0
25997520,-6.14,-21.46,88.8,0.00,74.2,115.7,0.0
25997530,-6.22,-22.05,89.8,0.00,76.9,118.2,0.0
25997540,-6.15,-21.89,88.3,0.00,75.6,116.3,0.0
25997550,-6.24,-22.48,89.6,0.00,78.4,119.1,0.0
25997560,-6.26,-22.69,89.7,0.00,79.3,119.8,0.0
25997570,-6.26,-22.92,89.4,0.00,80.1,120.0,0.0
25997580,-6.23,-22.93,88.8,0.00,79.9,119.4,0.0
25997590,-6.30,-23.47,89.5,0.00,82.3,121.5,0.0
25997600,-6.23,-23.33,88.1,0.00,81.1,119.8,0.0
25997610,-6.13,-23.04,86.3,0.00,79.2,117.2,0.0
25997620,-6.12,-23.14,86.0,0.00,79.5,117.1,0.0
25997630,-6.14,-23.48,85.9,0.00,80.7,117.9,0.0
25997640,-6.06,-23.36,84.4,0.00,79.7,116.1,0.0
25997650,-6.22,-24.30,86.6,0.00,84.2,120.8,0.0
25997660,-6.09,-23.86,84.4,0.00,81.6,117.3,0.0
25997670,-6.10,-24.23,84.1,0.00,82.9,118.1,0.0
25997680,-6.20,-24.89,85.2,0.00,85.9,121.0,0.0
25997690,-6.09,-24.47,83.5,0.00,83.5,118.1,0.0
25997700,-6.19,-25.19,84.5,0.00,86.8,121.1,0.0
25997710,-6.19,-25.43,84.3,0.00,87.6,121.5,0.0
25997720,-6.18,-25.70,83.5,0.00,88.3,121.5,0.0
25997730,-6.18,-25.98,83.1,0.00,89.2,122.0,0.0
25997740,-5.97,-24.97,80.2,0.00,83.9,116.1,0.0
25997750,-6.09,-25.86,81.3,0.00,87.9,119.7,0.0
