Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
26002510,-17.00,-142.90,464.6,0.00,-427.0,631.0,0.0
26002520,-17.01,-143.05,466.3,0.00,-425.9,631.6,0.0
26002530,-17.04,-143.08,468.3,0.00,-427.0,633.7,0.0
26002540,-17.07,-143.02,470.3,0.00,-429.5,636.9,0.0
26002550,-17.06,-143.08,469.9,0.00,-428.2,635.7,0.0
26002560,-17.11,-143.12,473.5,0.00,-430.3,639.8,0.0
26002570,-17.12,-143.13,474.6,0.00,-430.9,641.0,0.0
26002580,-17.14,-143.21,476.1,0.00,-430.8,642.1,0.0
26002590,-17.19,-143.23,480.0,0.00,-433.4,646.7,0.0
26002600,-17.18,-143.15,478.0,0.00,-433.2,645.1,0.0
26002610,-17.20,-143.27,480.7,0.00,-433.3,647.1,0.0
26002620,-17.23,-143.36,483.0,0.00,-433.7,649.2,0.0
26002630,-17.27,-143.22,485.1,0.00,-437.4,653.2,0.0
26002640,-17.27,-143.35,485.9,0.00,-436.0,652.8,0.0
26002650,-17.31,-143.36,488.6,0.00,-437.8,656.0,0.0
26002660,-17.30,-143.36,488.3,0.00,-437.6,655.7,0.0
26002670,-17.34,-143.42,491.3,0.00,-438.9,658.8,0.0
26002680,-17.35,-143.56,492.9,0.00,-437.7,659.2,0.0
26002690,-17.38,-143.55,494.9,0.00,-439.4,661.9,0.0
26002700,-17.41,-143.49,496.3,0.00,-441.4,664.2,0.0
26002710,-17.45,-143.60,500.2,0.00,-442.5,667.8,0.0
